City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
vanimo,3,PG,1569736142,69,-2.67,141.3,82.78,7.36
calama,0,CL,1569736142,26,-22.46,-68.93,46.99,16.11
acapulco,90,MX,1569736143,94,16.86,-99.88,75.2,19.46
micco,75,US,1569736143,74,27.85,-80.5,81.0,11.41
aripuana,100,BR,1569735978,96,-9.17,-60.63,73.06,1.99
leh,72,IN,1569736144,56,34.16,77.58,40.05,2.51
alta floresta,100,BR,1569736144,94,-9.87,-56.08,72.41,2.13
olga,0,RU,1569736144,52,43.74,135.29,73.01,11.23
gweta,0,BW,1569736145,10,-20.21,25.26,68.08,4.92
shelburne,1,CA,1569736145,100,44.08,-80.2,57.0,2.24
neiafu,75,TO,1569736145,78,-18.65,-173.98,77.0,8.05
najran,40,SA,1569736145,51,17.54,44.22,80.6,4.7
hukuntsi,0,BW,1569736146,16,-23.98,21.76,64.73,17.22
todos santos,55,MX,1569736146,87,23.45,-110.23,79.0,1.01
banda aceh,40,ID,1569736146,73,5.56,95.32,82.8,8.3
jalu,0,LY,1569736147,47,29.03,21.55,78.25,4.23
shingu,40,JP,1569736147,69,33.72,135.99,82.4,4.7
uppsala,90,SE,1569736147,100,59.86,17.64,53.01,0.74
puerto padre,75,CU,1569736148,94,21.2,-76.61,73.4,2.24
vao,86,NC,1569736148,82,-22.67,167.48,71.95,12.1
daura,11,NG,1569736148,66,13.04,8.32,78.3,12.08
bugama,100,NG,1569736149,93,4.73,6.86,74.57,3.6
forbes,0,AU,1569736149,19,-33.38,148.01,73.0,3
saint-joseph,0,RE,1569736149,61,-21.37,55.62,80.6,8.05
suleja,91,NG,1569736150,95,9.18,7.18,72.88,0.94
bako,99,ET,1569736150,62,5.83,36.63,74.79,1.97
coihaique,90,CL,1569736150,80,-45.58,-72.07,39.2,6.93
russellville,20,US,1569736150,88,35.28,-93.13,77.0,3.6
shangzhi,48,CN,1569736151,59,45.21,127.96,59.2,7.56
sibolga,92,ID,1569736151,78,1.74,98.78,81.74,12.28
calbuco,75,CL,1569736151,93,-41.77,-73.13,48.2,6.93
inhambane,0,MZ,1569736152,94,-23.87,35.38,69.8,2.46
ekibastuz,98,KZ,1569736152,59,51.72,75.32,44.53,21.25
talnakh,40,RU,1569736152,96,69.49,88.39,33.8,4.47
san patricio,65,MX,1569736152,95,19.22,-104.7,75.83,3.22
yuzhno-kurilsk,31,RU,1569736153,75,44.03,145.86,67.63,12.93
seoul,1,KR,1569736086,32,37.57,126.98,84.2,1.12
bidar,99,IN,1569736153,65,17.91,77.52,84.04,10.96
zyryanskoye,80,RU,1569736154,62,56.83,86.62,45.86,6.8
harlingen,75,NL,1569736214,100,53.18,5.41,57.2,12.75
west fargo,90,US,1569736041,81,46.88,-96.9,51.01,9.17
idritsa,92,RU,1569736214,94,56.33,28.9,51.28,5.41
pabbi,40,PK,1569736215,78,34.01,71.8,75.2,9.17
medvedevo,40,RU,1569736215,74,54.96,60.77,37.4,11.18
bijni,100,IN,1569736215,91,26.5,90.7,72.58,3.65
vestmanna,100,FO,1569736216,93,62.16,-7.17,48.2,17.22
fairbanks,75,US,1569735990,52,64.84,-147.72,45.0,8.05
souillac,75,MU,1569736216,73,-20.52,57.52,77.0,16.11
isla mujeres,20,MX,1569736216,79,21.23,-86.73,84.2,6.93
masvingo,1,ZW,1569736217,16,-20.08,30.83,70.83,6.11
ulagan,100,RU,1569736217,92,50.63,87.96,38.39,4.5
klaksvik,100,FO,1569736217,93,62.23,-6.59,48.2,17.22
ous,87,RU,1569736218,65,60.91,61.52,36.9,6.4
high level,1,CA,1569736218,73,58.52,-117.13,26.6,2.77
amapa,76,BR,1569736218,84,-1.83,-56.23,76.12,0.65
priladozhskiy,75,RU,1569736219,93,59.85,31.48,44.01,6.71
sisimiut,5,GL,1569736219,59,66.94,-53.67,44.26,10.89
great bend,90,US,1569736219,100,38.36,-98.78,68.0,11.41
akdepe,0,TM,1569736220,30,42.05,59.39,59.0,11.41
mehamn,98,NO,1569736220,73,71.03,27.85,34.22,6.02
anyang,0,CN,1569736220,30,36.1,114.34,85.99,13.51
anzio,75,IT,1569736220,82,41.45,12.63,68.0,4.7
lao cai,1,VN,1569736221,48,22.48,103.95,78.25,3.44
kieta,70,PG,1569736221,75,-6.22,155.63,84.04,10.04
conneaut,90,US,1569736221,93,41.95,-80.55,66.2,4.7
north bend,75,US,1569736222,87,43.41,-124.22,51.8,4.7
lompoc,1,US,1569736222,76,34.64,-120.46,59.0,25.59
pangnirtung,100,CA,1569736222,90,66.15,-65.72,35.8,4.21
oda,75,JP,1569736223,65,35.19,132.5,82.4,4.7
buta,100,CD,1569736223,97,2.79,24.73,72.02,3.09
poros,0,GR,1569736223,55,40.11,21.53,64.04,2.21
montemor-o-novo,0,PT,1569736224,100,38.65,-8.21,53.6,8.05
shuangcheng,0,CN,1569736224,42,45.37,126.3,69.01,8.95
kiama,75,AU,1569736224,55,-34.67,150.86,64.4,11.41
okhotsk,100,RU,1569736225,90,59.36,143.24,38.75,18.45
saint albans,90,US,1569736225,100,44.81,-73.08,62.01,7.2
iquique,0,CL,1569736222,67,-20.22,-70.14,60.8,4.7
coahuayana,100,MX,1569736225,98,18.62,-100.35,70.85,2.37
muravlenko,95,RU,1569736226,68,63.79,74.5,34.85,1.12
hershey,1,US,1569736226,94,40.29,-76.65,71.01,4.03
nelson bay,7,AU,1569736226,56,-32.72,152.14,68.0,12.75
eureka,90,US,1569736227,93,40.8,-124.16,48.99,14.52
pimenta bueno,100,BR,1569736227,87,-11.68,-61.19,74.57,2.17
atambua,24,ID,1569736227,65,-9.11,124.89,79.04,4.07
beaver falls,90,US,1569736227,66,44.58,-95.05,54.0,10.29
pedraza,99,CO,1569736228,92,10.19,-74.92,75.31,4.92
izumo,75,JP,1569736228,65,35.37,132.75,82.4,4.7
hamilton,75,BM,1569736228,78,32.3,-64.78,78.01,12.75
caconda,28,AO,1569736229,73,-13.73,15.06,63.54,1.32
catacamas,83,HN,1569736289,98,14.85,-85.89,67.82,2.55
shangqiu,0,CN,1569736289,30,34.42,115.65,91.99,7.02
bilibino,84,RU,1569736290,96,68.06,166.44,21.78,5.66
ribeira grande,9,PT,1569736290,87,38.52,-28.7,72.86,23.85
grindavik,0,IS,1569736290,87,63.84,-22.43,42.8,2.24
ust-maya,100,RU,1569736291,68,60.42,134.54,34.83,11.34
smidovich,0,RU,1569736291,43,48.6,133.81,58.18,16.31
oum hadjer,96,TD,1569736291,55,13.3,19.7,84.49,12.12
espinosa,99,BR,1569736292,80,-14.92,-42.81,68.38,7.49
si bun ruang,0,TH,1569736292,54,16.97,102.28,85.72,5.06
qixingtai,0,CN,1569736292,25,30.41,111.89,99.0,6.15
northam,0,AU,1569736292,28,-31.65,116.67,86.0,11.41
nezlobnaya,75,RU,1569736293,82,44.12,43.4,57.2,8.95
matagami,90,CA,1569736293,93,49.76,-77.63,35.6,4.7
